Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,1,Team Heretics,,0.2k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,1,Paper Rex,,0.5k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,2,Team Heretics,,10.2k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,2,Paper Rex,,2.3k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,3,Team Heretics,,0.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,3,Paper Rex,,10.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,4,Team Heretics,,9.2k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,4,Paper Rex,,2.4k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,5,Team Heretics,,1.4k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,5,Paper Rex,,11.4k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,6,Team Heretics,,7.9k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,6,Paper Rex,,15.8k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,7,Team Heretics,,1.1k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,7,Paper Rex,,19.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,8,Team Heretics,,7.8k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,8,Paper Rex,,20.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,9,Team Heretics,,0.6k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,9,Paper Rex,,32.0k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,10,Team Heretics,,6.9k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,10,Paper Rex,,30.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,11,Team Heretics,,0.6k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,11,Paper Rex,,33.0k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,12,Team Heretics,,1.1k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,12,Paper Rex,,35.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,13,Team Heretics,,0.3k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,13,Paper Rex,,0.2k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,14,Team Heretics,,0.4k,Semi-buy: 10-20k,Loss
