Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,raze,8,5,,,,,,,,73,0,2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,"brimstone, omen",5,1,3,,,1,,,,66,1,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,"sage, viper",2,2,,,3,,,,,43,5,3
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,"fade, viper",4,,,,,,,,,36,4,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,"sova, yoru",7,1,1,1,1,1,,,,78,1,2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,NoMan,"neon, skye",10,1,,,,,,,,67,1,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,coconut,"gekko, omen",7,,,,,,,,,38,9,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,Rarga,"raze, yoru",6,1,,,,1,,,,48,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,Viva,"brimstone, sova",2,,1,,1,1,,1,,39,6,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,happywei,"cypher, viper",1,2,,,,,,,,53,1,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,Jinggg,raze,5,3,,,,,,,,89,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,f0rsakeN,brimstone,4,1,,,,,,,,67,1,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,d4v41,viper,,1,,,,,,,,53,2,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,PatMen,fade,3,,,,,,,,,45,4,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,something,yoru,5,,1,,,1,,,,68,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,NoMan,skye,6,,,,,,,,,50,1,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,coconut,gekko,5,,,,,,,,,39,7,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,Rarga,raze,3,,,,,1,,,,54,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,Viva,brimstone,2,,1,,,1,,1,,45,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,happywei,viper,,,,,,,,,,34,1,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,Jinggg,raze,3,2,,,,,,,,57,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,f0rsakeN,omen,1,,3,,,1,,,,64,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,d4v41,sage,2,1,,,3,,,,,33,3,2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,PatMen,viper,1,,,,,,,,,26,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,something,sova,2,1,,1,1,,,,,88,1,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,NoMan,neon,4,1,,,,,,,,84,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,coconut,omen,2,,,,,,,,,37,2,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,Rarga,yoru,3,1,,,,,,,,41,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,Viva,sova,,,,,1,,,,,32,6,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,happywei,cypher,1,2,,,,,,,,71,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,Cloud,"fade, sova",13,2,,,,,,,,69,5,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,grubinho,omen,9,2,,,1,,,,,44,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,Flickless,"breach, viper",6,1,,,,1,,,,47,8,3
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,ara,"neon, yoru",9,3,,,,,,,,49,0,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,westside,"cypher, vyse",8,2,,,1,,,,,54,2,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,Zellsis,"breach, killjoy, vyse",4,,,,,,,,,39,0,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,johnqt,"cypher, viper",6,3,,,,,,,,61,5,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,bang,omen,6,,,,,,,,,35,7,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,zekken,neon,5,4,2,,,,1,,,55,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,N4RRATE,"fade, sova",8,2,1,,2,,,,,60,7,2
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,Cloud,fade,1,,,,,,,,,41,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,grubinho,omen,3,,,,,,,,,35,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,Flickless,viper,2,,,,,,,,,29,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,ara,yoru,2,1,,,,,,,,45,0,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,westside,vyse,2,1,,,,,,,,37,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,Zellsis,vyse,1,,,,,,,,,39,0,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,johnqt,viper,2,1,,,,,,,,74,2,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,bang,omen,3,,,,,,,,,45,3,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,zekken,neon,2,3,1,,,,,,,66,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,N4RRATE,fade,4,,1,,1,,,,,77,2,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,Cloud,sova,7,1,,,,,,,,102,3,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,grubinho,omen,2,,,,,,,,,55,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,Flickless,breach,2,1,,,,1,,,,59,1,2
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,ara,neon,2,1,,,,,,,,34,0,0
