Abbreviated,Full Name
PRX,Paper Rex
XLG,Xi Lai Gaming
GX,GIANTX
SEN,Sentinels
NRG,NRG
EDG,EDward Gaming
TL,Team Liquid
DRX,DRX
DRG,Dragon Ranger Gaming
T1,T1
G2,G2 Esports
TH,Team Heretics
BLG,Bilibili Gaming
MIBR,MIBR
RRQ,Rex Regum Qeon
FNC,FNATIC
C9,Cloud9
FUR,FURIA
LEV,LEVIATÁN
LOUD,LOUD
EG,Evil Geniuses
2G,2Game Esports
KRÜ,KRÜ Esports
100T,100 Thieves
ALP,Team Alpha
OME,Team Omega
NAVI,Natus Vincere
APK,Apeks
VIT,Team Vitality
FUT,FUT Esports
M8,Gentle Mates
MKOI,KOI
BBL,BBL Esports
KC,Karmine Corp
FRA,Team France
EMEA,Team EMEA
BME,BOOM Esports
TLN,TALON
NS,Nongshim RedForce
TS,Team Secret
GEN,Gen.G
GE,Global Esports
ZETA,ZETA DIVISION
DFM,DetonatioN FocusMe
WOR,Team World
GOA,Glory Once Again
TEC,Titan Esports Club
TYL,TYLOO
AG,All Gamers
WOL,Wolves Esports
FPX,FunPlus Phoenix
NOVA,Nova Esports
JDG,JDG Esports
TE,Trace Esports
HS,Pure Aim
CJMZ,Precise Defeat
INTL,Team International
THAi,Team Thailand
