Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,8,1,3,1,3,3,2,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,3,3,2,1,8,1,3,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,9,0,4,0,3,2,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,3,2,0,0,9,0,4,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,4,0,1,1,8,3,2,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,8,3,2,0,4,0,1,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,10,0,2,1,3,0,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,3,0,1,0,10,0,2,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,11,1,1,0,6,2,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,6,2,1,0,11,1,1,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,12,3,1,1,9,3,3,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,9,3,3,0,12,3,1,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,9,0,3,1,8,1,2,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,8,1,2,0,9,0,3,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,3,1,4,0,5,4,3,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,5,4,3,1,3,1,4,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,5,2,3,0,7,1,2,3
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,7,1,2,3,5,2,3,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,8,2,3,0,11,2,3,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,11,2,3,0,8,2,3,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,9,0,5,0,13,1,2,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,13,1,2,0,9,0,5,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,6,1,3,0,11,1,1,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,11,1,1,0,6,1,3,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,6,0,4,0,6,1,5,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,Team Heretics,6,1,5,1,6,0,4,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,Bilibili Gaming,1,0,1,0,9,3,1,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,MIBR,9,3,1,0,1,0,1,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,Bilibili Gaming,5,0,4,0,8,2,2,1
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,MIBR,8,2,2,1,5,0,4,0
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Ascent,Rex Regum Qeon,4,1,2,3,8,2,3,0
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Ascent,FNATIC,8,2,3,0,4,1,2,3
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Abyss,Rex Regum Qeon,5,2,0,0,7,1,5,0
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Abyss,FNATIC,7,1,5,0,5,2,0,0
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Ascent,Paper Rex,8,0,2,1,10,1,2,0
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Ascent,GIANTX,10,1,2,0,8,0,2,1
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Lotus,Paper Rex,10,2,1,0,4,2,2,2
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Lotus,GIANTX,4,2,2,2,10,2,1,0
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Sunset,Paper Rex,10,1,2,0,3,0,1,2
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Sunset,GIANTX,3,0,1,2,10,1,2,0
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Haven,DRX,11,1,1,0,2,0,2,0
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Haven,Mega Minors,2,0,2,0,11,1,1,0
